cpt_slug,post_title,tax_categorias_empreendimentos,tax_tipo_atrativo,tax_rotas_turisticas,resumo_historico,endereco_localizacao,entrada,horario_de_visitacao,guia_necessario,subtitulo_slogan,endereco_completo,telefone_whatsapp,instagram,site_oficial,horario_de_funcionamento,comodidades,destaque_na_home,data_de_inicio,sobre_o_evento,data_de_fim,local_do_evento,valor_do_ingresso,link_de_inscricao_compra,organizador
empreendimentos,"Don Pietro Pizzaria & Esfiharia","Restaurantes",,,"É uma pizzaria e esfiharia estrategicamente localizada próxima á Rodovia Henrique Herwig. Oferece rodízio variado de pizzas e esfihas artesanais recheadas.","Av. Marginal Br-376, 1965 Loja 1",,,,"Ambiente acolhedor com rodízio variado de pizzas e esfihas artesanais.","Av. Marginal Br-376, 1965 Loja 1, Cruzeiro, CEP 83010-514",41992485875,@dompietro_pizzariaeesfiharia,https://menu.brendi.com.br/dom-pietro-cruzeiro/,Seg-Sáb: 11h-00h | Dom: 11h-16h,"Área de brinquedos, serviço de delivery, estacionamento",Não,,,,,,
empreendimentos,"Estrada Velha Restaurante","Restaurantes",,,"Local rústico que oferece comida no fogão a lenha. Comida caseira típica, feita com tempeiro campeiro. Serve pratos simples regionais e a tradicional feijoada.","Estr. Velha da Guaricana, n° 1825",,,,"Desfrute de uma autêntica experiência gastronômica rústica.","Estr. Velha da Guaricana, n° 1825, Corrego fundo, CEP 83149-899",41997955365,@restaurante_estrada_velha,,Ter-Dom: 11h-14h,"Mesas e cadeiras em espaço coberto, estacionamento",Não,,,,,,
empreendimentos,"Executive","Restaurantes",,,"Considerado um dos melhores e sofisticados restaurantes da cidade, o Executive é um restaurante de gastronomia brasileira muito procurado para comemorações e almoços de negócios.","R. Joaquim Ferreira Claudino, 350 Fundos",,,,"Sofisticação e gastronomia para comemorações e almoços.","R. Joaquim Ferreira Claudino, 350 Fundos, Cruzeiro, CEP 83010-430",41998946829,@executivegastronomia,,Seg-Sex: 11:30h-14:30h | Sáb-Dom: Fechado,"Locação de espaço para eventos, wi-fi, reservas",Não,,,,,,
empreendimentos,"Fazenda Park Mergulhão Restaurante Colonial","Restaurantes",,"Caminho do Vinho","Também conhecido como Fazenda Park, o empreendimento é um pesque-pague e restaurante rural com área de lazer. Em sua estrutura rústica, oferece ampla área verde.","R. Júlio César Setenareski 3670",,,,"Desfrute de uma experiência gastronômica colonial em meio à natureza.","R. Júlio César Setenareski 3670, Caminho do Vinho/Colônia Mergulhão",41997446207,@pesquefazendamergulhao,http://www.caminhodovinho.tur.br/fazenda-park-mergulhao/,Feriados e Sáb-Dom: 9h-18h,"Restaurante, lagos para pesque-pague, parque infantil, piscina",Não,,,,,,
empreendimentos,"Folha de Louro Restaurante","Restaurantes",,,"O restaurante é pequeno e simples, conhecido pela sua comida caseira saborosa. O cardápio é composto por pratos da culinária brasileira, com opções de saladas e carnes.","R. Padre Bittencourt, 20",,,,"Sabores caseiros em um ambiente acolhedor.","R. Padre Bittencourt, 20, Centro, CEP 83030-490",4130585758,,,Seg-Sex: 11:30h-14:30h,"Comida caseira, almoço por quilo, buffet livre",Não,,,,,,
empreendimentos,"Frutos da Terra","Restaurantes",,"Caminho do Vinho","O restaurante, com 18 anos de tradição no Caminho do Vinho, começou em um antigo estábulo e hoje é uma superestrutura de 450 metros quadrados. Oferece pratos da culinária italiana e polonesa.","R. Augusto Micrute, 3555",,,,"Sabores autênticos no Caminho do Vinho","R. Augusto Micrute, 3555, Colônia Acioli, CEP 83085-290",41996442038,@frutosdaterraoficial,http://www.restaurantefrutosdaterra.com.br,Restaurante: Sáb-Dom: 11:30h-15:00h | Petiscaria: Sex: a partir das 19:00h,"Wi-fi, área verde, pedalinho, trilha, parque infantil",Não,,,,,,
empreendimentos,"Garage Food & Parking","Restaurantes",,,"O local oferece estacionamento seguro 24h e, à noite, se transforma em uma agradável Vila Gastronômica urbana no formato de containers gastronômicos.","R. Joaquim Nabuco, 2127 Loja 2",,,,"Uma experiência gastronômica única no coração da cidade.","R. Joaquim Nabuco, 2127 Loja 2, Centro, CEP 83005-160",4196092127,@garagefoodparking,https://www.garagefoodparking.com.br/,Vila: 18h-23h30 | Estacionamento: 24h,"Espaço kids, aceita animais, estacionamento seguro",Não,,,,,,
empreendimentos,"Haru Restaurante Japonês","Restaurantes",,,"Pequeno restaurante especializado em culinária oriental próximo à Av. das Torres. Oferece rodízios e pratos bem elaborados em um ambiente simples e familiar.","Rua Colorado, 95",,,,"Descubra o sabor autêntico da culinária oriental.","Rua Colorado, 95, São Cristovão, CEP 83040-250",41999345462,@restauranteharusjp,,Ter-Dom: 18:30h-23:30h,"Oferece rodízios, serviço de delivery",Não,,,,,,
empreendimentos,"Herradura","Restaurantes",,"Caminho do Vinho","O Herradura oferece cortes nobres preparados na parrilla e um cardápio diversificado incluindo lanches e vinhos em uma arquitetura rústica e descontraída.","R. Júlio César Setenareski 2500",,,,"Experiência gastronômica com cortes nobres e ambiente acolhedor.","R. Júlio César Setenareski 2500, Colônia Mergulhão, CEP 83085-290",4187445169,,,Sex-Dom: 9h-18h,"Carnes nobres, parrilha de legumes, área infantil",Não,,,,,,
empreendimentos,"Horilka z pertzen","Restaurantes",,"Rota das Colônias","Bar e restaurante de estilo rústico, localizado na Colônia Marcelino. Ótima opção de parada para quem passa pela região, oferece comida brasileira e pratos típicos regionais.","R. Vereador Domingos Benvenutto Molleta, 16995",,,,"Experimente a autêntica culinária regional em um ambiente rústico.","R. Vereador Domingos Benvenutto Molleta, 16995, Colônia Marcelino, CEP 83800-000",41991373463,@horilkazpertzen,,Sex: 18h-23h | Sáb: 12h-23h | Dom: 9h-22h,"Buffet com pratos grelhados, pierogi, vareniki, bebidas",Não,,,,,,
